Tiempo (s),Q_agua (m³/d),Q_oil (m³/d),Q_gas (m³/d),Temp (°C),Presión_in (bar),Nivel_total (%),Nivel_oil (%),Presión_gas (bar),Señal_PID_valv (%),Estado
0,2157.75,431,3660,55.733739159464655,3.779691000272769,75.6043871468921,58.283316864433225,3.0999749158180028,29.890371102553722,Alerta
5,2427.6,403,2930,55.08233797718321,3.969909852161994,77.01439315007315,53.0610512281301,3.181824967207101,55.42560043585965,Alerta
10,2340.4500000000003,412,3259,57.446612641953124,3.0070663052197175,78.04444365322396,53.14441417279331,3.3998609717152553,47.489560319142235,Alerta
15,2103.15,487,4067,57.36965827544817,3.046450412719998,77.67226576701046,51.6980128451554,3.0650515929852795,53.75698018345672,Alerta
20,2457.0,468,5163,57.253152871382156,3.385416502539916,79.55838526903001,51.79780448730033,3.609996657782621,46.318290586564586,Alerta
25,2134.65,415,4385,57.650089137415925,3.311711076089411,78.75112926768139,59.55662608310488,3.184854455525527,61.936397242823176,Alerta
30,2250.15,397,4379,58.757995766256755,3.894827350427649,79.47693315999082,54.34273656237994,3.0884925020519196,39.90914657134893,Alerta
35,2404.5,490,3876,57.347004662655394,3.965255307264138,74.83341157292622,50.980085435566785,3.2962735057040824,57.21502462358646,Alerta
40,2365.65,444,4167,56.57952607270228,3.2934881747180382,79.8611688015422,55.35553481934668,3.6059599747810114,52.115870123260166,Alerta
45,2079.0,386,3000,57.49319250731023,3.330898024852649,79.19408929235816,53.64453575745869,3.325183322026747,45.896166913136994,Alerta
50,2153.55,423,4695,56.09888717196026,3.5612434258477013,78.65369044794002,53.83776209168263,3.848913824266084,40.6623715908795,Alerta
55,2467.5,482,3192,57.84265155874315,3.1108908208118313,79.56841637530788,51.2385659514555,3.8957635956735195,47.191937084732466,Alerta
60,2302.65,431,3820,57.03428276465881,3.907566473926093,76.93116709265298,51.00989225837133,3.7555511385430487,41.91506397106812,Alerta
65,2118.9,421,4397,57.533615026041694,3.8714605901877177,76.99648591283092,52.94047959246592,3.892558998489978,55.13267433113356,Alerta
70,2397.15,498,4296,56.272013899887455,3.110051924527677,77.21578369373569,51.07297010373576,3.8180147659224932,23.4482395243653,Alerta
75,2222.85,476,4057,56.350460685614514,3.942909703912519,78.69103588777753,54.42987766018951,3.7030189588951776,29.77685066804265,Alerta
80,2168.25,441,4320,56.015661655737375,3.2468760628386013,80.17345404607855,56.00997376140526,3.1480869299534,49.35621949199033,Alerta
85,2409.75,480,4559,58.63306354386661,3.2395618906669723,78.68980467008946,53.93057646058951,3.985650454110601,38.31321962380468,Alerta
90,2308.9500000000003,447,3002,56.47861782424562,3.242159938277426,77.72541799264145,56.80264312938725,3.983423140894843,62.1805043775651,Alerta
95,2200.8,476,3947,57.03279510696287,3.6958128067908818,77.22108395139304,53.16708727289725,3.2202410475655485,58.57503251588113,Alerta
100,2412.9,446,4334,55.90598310079175,3.64517279040945,79.07267206476413,52.17061813747745,3.3867353463005374,42.16746707663763,Alerta
105,2208.15,410,4434,55.9142000871892,3.174954927095936,77.35587696758864,54.0260677995331,3.260829174830409,53.77769591973092,Alerta
110,2453.85,427,5101,58.588863031813304,3.9004180571633302,75.1199171046324,56.38145451222728,3.3492095746126607,55.21941565616898,Alerta
115,2209.2000000000003,433,4496,57.568126584617154,3.0841399649950487,78.59396934646637,54.586144946597365,3.005061583846219,42.85648581973632,Alerta
120,2452.8,489,3137,56.94245501434491,3.4484241429862474,77.99028611069794,53.23335338746819,3.178822709221329,63.431682122967786,Alerta
125,2254.35,396,3439,57.27323441334189,3.0936747678280927,76.53090470010494,51.26025788656741,3.2439896433790834,42.282192505067414,Alerta
130,2089.5,481,3362,58.568186220708455,3.631138625997263,78.02600378375581,56.907068154314636,3.576903884626359,35.93594732818451,Alerta
135,2382.4500000000003,427,3458,57.28801679683673,3.768554014306309,77.93094068781038,50.433497875668955,3.883494022266259,47.568655395929845,Alerta
140,2448.6,484,3860,58.7132742503509,3.4281841483173143,77.09507553531066,55.554099589807215,3.3850977286019255,45.53485047932979,Alerta
145,2184.0,397,4616,56.57876586723789,3.8442131407263114,79.71279758864695,55.27022510180396,3.358646781296164,39.197991299595145,Alerta
150,2182.9500000000003,406,4209,56.290203056954404,3.8486697949246746,78.83727893834521,52.543641501273335,3.552819976907908,43.33056625043487,Alerta
155,2370.9,404,3324,55.32637672160096,3.0051848627739868,74.6163634874994,51.633468757091165,3.0709409169999278,54.94995654191695,Alerta
160,2469.6,393,3771,58.54646859580264,3.0276167718737046,74.87888585512546,58.00069617821221,3.6720261352951993,40.86587462677585,Alerta
165,2249.1,401,5161,58.4416184732467,3.250251360515864,77.08993365202487,50.01692442693717,3.8278690037875887,54.26025866834002,Alerta
170,2112.6,487,2804,56.82906064645491,3.8420230750119813,77.25095688181906,51.41756777372763,3.699512210767194,48.92805524838874,Alerta
175,2338.35,471,3881,55.31382552536906,3.0253507434154576,77.02756542849376,52.45636184448649,3.1732943200708457,66.61301730608155,Alerta
180,2050.65,490,3919,57.19690665882448,3.7145959227000622,75.47823209132991,55.83572389410955,3.954865280663194,53.77296265460409,Alerta
185,2341.5,472,5094,55.190864510766595,3.566037210494076,81.30270197295899,52.639991331764115,3.0941569882685602,47.36594155132727,Alerta
190,2148.3,489,3757,57.81463143752009,3.4741738290873254,77.9611157182009,52.13481668687784,3.4734717707805656,47.4743184860684,Alerta
195,2073.75,389,4581,57.540374603470575,3.0453040097720443,75.5044336360703,56.88254657813223,3.5031362585800876,35.6413784882056,Alerta
200,2319.4500000000003,499,4148,57.73585507759256,3.615851164389914,78.68813626280405,55.85246508577007,3.8009492946823995,57.49105676964324,Alerta
205,2084.25,412,3756,57.18246715726374,3.941464808776525,81.61791365804032,54.87865428020687,3.9053506419560637,48.91502111436487,Alerta
210,2095.8,408,2811,55.403112005509705,3.01822182565155,78.56198373547006,52.754600960358815,3.071188648460229,58.84990467186665,Alerta
215,2144.1,413,2914,56.1274190990936,3.1181648276216563,77.07094050271006,55.904022187693386,3.877472013527053,64.5255024746237,Alerta
220,2277.4500000000003,400,3475,55.70975817511889,3.7506147516408586,74.42465677613643,51.55885979143629,3.7764129607419967,55.470973811700375,Alerta
225,2088.4500000000003,391,4348,57.9596350417895,3.2382361524039793,77.59561469513221,55.265704874765426,3.4965611906830776,27.458413204823845,Alerta
230,2277.4500000000003,465,3196,58.5820929139848,3.389201678734163,77.45791907542292,52.77381063418324,3.950061967050805,50.96995964992718,Alerta
235,2434.9500000000003,395,3684,55.366816589033924,3.602440925901119,79.19031405087382,51.11869452238636,3.94619454288169,52.693176542525386,Alerta
240,2200.8,436,3862,55.364824412194764,3.4944203047025812,78.15160911638745,52.645676576975774,3.441530501373377,46.90907490803078,Alerta
245,2202.9,490,3753,57.472872253265045,3.1011226761227904,79.60762610275252,54.489933142217446,3.0727630063641937,44.9305682462887,Alerta
250,2346.75,445,4340,57.05330467476957,3.2332280724245277,80.1213849263606,54.47497050324388,3.880359968638417,52.89882811537126,Alerta
255,2365.65,383,4627,56.50503834212366,3.0835007166986688,77.62555008730237,54.62181513119601,3.4242220092469764,64.75356216949552,Alerta
260,2412.9,398,2838,56.73780737795308,3.2536821738731385,80.88749441937152,50.170185260780954,3.7409738609106684,56.47558109013714,Alerta
265,2050.65,382,4796,55.95002588516988,3.4002228928720246,79.07205306980971,52.30613252550467,3.5283701212972094,49.5475037626068,Alerta
270,2172.4500000000003,385,4905,55.04861789875927,3.969878826707639,78.44818496362083,54.02518480156359,3.0737965647353986,54.73627387727564,Alerta
275,2098.9500000000003,484,4349,56.17797578735772,3.9958313750293706,78.10870115587714,52.20552733727739,3.7371007058430195,65.2582995725083,Alerta
280,2062.2000000000003,453,3767,56.57808719443252,3.106756065935884,76.02554158465415,53.017672942501086,3.6468483616687237,36.47549445090003,Alerta
285,2079.0,471,3668,58.89757923066467,3.986210744479603,76.88315926113448,54.683511951554316,3.309527616286328,68.76170839215887,Alerta
290,2272.2000000000003,456,3724,55.532740500895,3.0762003795991633,77.75442250168497,55.2977864825071,3.5811626211808263,51.42050091917568,Alerta
295,2054.85,498,3815,56.505853467512196,3.8105533307818327,80.07431692988925,50.57373094181825,3.969914397814603,63.538723741654124,Alerta
