Tiempo (s),Q_agua (m³/d),Q_oil (m³/d),Q_gas (m³/d),Temp (°C),Presión_in (bar),Nivel_total (%),Nivel_oil (%),Presión_gas (bar),Señal_PID_valv (%),Estado
0,1902,431,4392.0,55.733739159464655,3.779691000272769,72.6043871468921,64.28331686443323,3.0999749158180028,29.890371102553722,Fallo
5,2159,403,3516.0,55.08233797718321,3.969909852161994,74.01439315007315,59.0610512281301,3.181824967207101,55.42560043585965,Fallo
10,2076,412,3910.7999999999997,57.446612641953124,3.0070663052197175,75.04444365322396,59.14441417279331,3.3998609717152553,47.489560319142235,Fallo
15,1850,487,4880.4,57.36965827544817,3.046450412719998,74.67226576701046,57.6980128451554,3.0650515929852795,53.75698018345672,Fallo
20,2187,468,6195.599999999999,57.253152871382156,3.385416502539916,76.55838526903001,57.79780448730033,3.609996657782621,46.318290586564586,Fallo
25,1880,415,5262.0,57.650089137415925,3.311711076089411,75.75112926768139,65.55662608310487,3.184854455525527,61.936397242823176,Fallo
30,1990,397,5254.8,58.757995766256755,3.894827350427649,76.47693315999082,60.34273656237994,3.0884925020519196,39.90914657134893,Fallo
35,2137,490,4651.2,57.347004662655394,3.965255307264138,71.83341157292622,56.980085435566785,3.2962735057040824,57.21502462358646,Fallo
40,2100,444,5000.4,56.57952607270228,3.2934881747180382,76.8611688015422,61.35553481934668,3.6059599747810114,52.115870123260166,Fallo
45,1827,386,3600.0,57.49319250731023,3.330898024852649,76.19408929235816,59.64453575745869,3.325183322026747,45.896166913136994,Fallo
50,1898,423,5634.0,56.09888717196026,3.5612434258477013,75.65369044794002,59.83776209168263,3.848913824266084,40.6623715908795,Fallo
55,2197,482,3830.3999999999996,57.84265155874315,3.1108908208118313,76.56841637530788,57.2385659514555,3.8957635956735195,47.191937084732466,Fallo
60,2040,431,4584.0,57.03428276465881,3.907566473926093,73.93116709265298,57.00989225837133,3.7555511385430487,41.91506397106812,Fallo
65,1865,421,5276.4,57.533615026041694,3.8714605901877177,73.99648591283092,58.94047959246592,3.892558998489978,55.13267433113356,Fallo
70,2130,498,5155.2,56.272013899887455,3.110051924527677,74.21578369373569,57.07297010373576,3.8180147659224932,23.4482395243653,Fallo
75,1964,476,4868.4,56.350460685614514,3.942909703912519,75.69103588777753,60.42987766018951,3.7030189588951776,29.77685066804265,Fallo
80,1912,441,5184.0,56.015661655737375,3.2468760628386013,77.17345404607855,62.00997376140526,3.1480869299534,49.35621949199033,Fallo
85,2142,480,5470.8,58.63306354386661,3.2395618906669723,75.68980467008946,59.93057646058951,3.985650454110601,38.31321962380468,Fallo
90,2046,447,3602.4,56.47861782424562,3.242159938277426,74.72541799264145,62.80264312938725,3.983423140894843,62.1805043775651,Fallo
95,1943,476,4736.4,57.03279510696287,3.6958128067908818,74.22108395139304,59.16708727289725,3.2202410475655485,58.57503251588113,Fallo
100,2145,446,5200.8,55.90598310079175,3.64517279040945,76.07267206476413,58.17061813747745,3.3867353463005374,42.16746707663763,Fallo
105,1950,410,5320.8,55.9142000871892,3.174954927095936,74.35587696758864,60.0260677995331,3.260829174830409,53.77769591973092,Fallo
110,2184,427,6121.2,58.588863031813304,3.9004180571633302,72.1199171046324,62.38145451222728,3.3492095746126607,55.21941565616898,Fallo
115,1951,433,5395.2,57.568126584617154,3.0841399649950487,75.59396934646637,60.586144946597365,3.005061583846219,42.85648581973632,Fallo
120,2183,489,3764.3999999999996,56.94245501434491,3.4484241429862474,74.99028611069794,59.23335338746819,3.178822709221329,63.431682122967786,Fallo
125,1994,396,4126.8,57.27323441334189,3.0936747678280927,73.53090470010494,57.26025788656741,3.2439896433790834,42.282192505067414,Fallo
