Tiempo (s),Q_agua (m³/d),Q_oil (m³/d),Q_gas (m³/d),Temp (°C),Presión_in (bar),Nivel_total (%),Nivel_oil (%),Presión_gas (bar),Señal_PID_valv (%),Estado
0,1902,431,3660,55.91717394933082,3.779691000272769,72.6043871468921,58.283316864433225,3.0999749158180028,29.890371102553722,Normal
60,2159,403,2930,55.10292247147901,3.969909852161994,74.01439315007315,53.0610512281301,3.181824967207101,55.42560043585965,Normal
120,2076,412,3259,58.058265802441404,3.0070663052197175,75.04444365322396,53.14441417279331,3.3998609717152553,47.489560319142235,Normal
180,1850,487,4067,57.962072844310214,3.046450412719998,74.67226576701046,51.6980128451554,3.0650515929852795,53.75698018345672,Normal
240,2187,468,5163,57.816441089227695,3.385416502539916,76.55838526903001,51.79780448730033,3.609996657782621,46.318290586564586,Normal
300,1880,415,4385,58.31261142176991,3.311711076089411,75.75112926768139,59.55662608310488,3.184854455525527,61.936397242823176,Normal
360,1990,397,4379,59.697494707820944,3.894827350427649,76.47693315999082,54.34273656237994,3.0884925020519196,39.90914657134893,Normal
420,2137,490,3876,57.93375582831924,3.965255307264138,71.83341157292622,50.980085435566785,3.2962735057040824,57.21502462358646,Normal
480,2100,444,4167,56.974407590877846,3.2934881747180382,76.8611688015422,55.35553481934668,3.6059599747810114,52.115870123260166,Normal
540,1827,386,3000,58.11649063413779,3.330898024852649,76.19408929235816,53.64453575745869,3.325183322026747,45.896166913136994,Normal
600,1898,423,4695,56.37360896495032,3.5612434258477013,75.65369044794002,53.83776209168263,3.848913824266084,40.6623715908795,Normal
