Tiempo (h),Nivel_Total,Nivel_Agua,Nivel_Petroleo,Resid
0.0,74.96,67.99,55.96,28.79
0.02,74.94,70.43,56.48,24.56
0.03,75.02,60.45,54.64,25.4
0.05,75.1,62.95,55.27,26.66
0.07,75.04,65.39,55.75,28.04
0.08,75.03,67.8,56.26,28.85
0.1,75.03,70.24,55.47,24.77
0.12,75.08,61.23,56.06,26.14
0.13,74.93,63.62,56.14,26.94
0.15,74.92,66.07,55.95,28.0
0.17,74.95,68.53,56.52,28.04
0.18,75.02,68.27,54.46,28.33
0.2,74.96,69.31,54.94,26.54
0.22,75.22,65.12,55.73,27.45
0.23,75.27,67.6,56.33,28.45
0.25,75.0,69.97,54.91,25.52
0.27,75.01,62.31,55.46,26.36
0.28,75.01,64.77,55.99,27.49
0.3,75.1,67.24,56.62,28.55
0.32,75.02,69.66,53.9,25.78
0.33,75.09,63.63,54.51,26.85
0.35,75.05,66.08,55.01,27.7
0.37,75.06,68.56,55.56,27.69
0.38,75.0,68.13,56.05,28.57
0.4,75.09,69.94,56.42,25.35
0.42,75.12,62.46,54.84,26.47
0.43,74.96,64.86,55.21,27.4
0.45,75.17,67.38,55.96,28.25
0.47,75.11,69.84,56.45,25.57
0.48,75.11,62.86,54.68,26.93
0.5,75.16,65.29,55.26,27.81
0.52,75.04,67.69,55.68,28.54
0.53,75.24,70.21,56.42,25.09
0.55,75.13,61.28,54.7,25.94
0.57,75.11,63.73,55.22,26.94
0.58,75.02,66.16,55.66,28.16
0.6,75.1,68.62,56.28,27.47
0.62,75.22,67.95,55.51,28.81
0.63,75.14,70.37,55.97,24.58
0.65,75.11,60.67,56.48,25.68
0.67,75.19,63.15,54.63,26.49
0.68,74.97,65.56,54.97,27.49
0.7,75.08,68.06,55.61,28.72
0.72,75.26,70.25,56.33,24.88
0.73,75.08,61.12,55.0,25.89
0.75,75.05,63.56,55.51,27.32
0.77,75.11,65.99,56.1,27.84
0.78,75.15,68.46,56.17,27.91
0.8,75.11,68.55,55.8,27.91
0.82,75.24,68.2,56.46,28.61
0.83,75.2,69.6,54.6,25.86
0.85,75.21,63.86,55.16,27.17
0.87,75.13,66.28,55.61,28.1
0.88,75.06,68.7,56.07,27.74
0.9,75.2,67.59,56.4,28.55
0.92,75.06,69.99,54.74,25.34
0.93,75.1,62.26,55.33,26.48
0.95,75.09,64.69,55.85,27.38
0.97,75.19,67.18,56.49,28.63
0.98,75.07,69.57,54.39,25.94
1.0,75.18,64.02,55.04,27.02
1.02,75.06,66.44,55.46,28.18
1.03,75.09,68.89,56.03,27.27
1.05,75.23,66.81,56.55,28.3
1.07,75.29,69.28,54.33,26.44
1.08,75.09,65.11,54.67,27.51
1.1,75.23,67.61,55.35,28.21
1.12,75.25,70.1,55.92,25.18
1.13,75.38,61.82,56.59,26.27
1.15,75.19,64.2,53.91,27.1
1.17,75.12,66.64,54.38,28.26
1.18,75.11,69.08,54.9,26.95
1.2,75.17,66.01,55.51,28.06
1.22,75.24,68.46,56.11,28.03
1.23,75.13,68.51,55.97,27.71
1.25,75.28,68.41,56.67,28.03
1.27,75.31,68.76,53.8,27.42
1.28,75.28,67.31,54.3,28.71
1.3,75.12,69.68,54.68,25.9
1.32,75.14,63.53,55.24,26.87
1.33,75.24,66.01,55.88,27.94
1.35,75.3,68.48,56.48,28.12
1.37,75.26,68.43,54.52,28.32
1.38,75.22,68.64,55.0,27.68
1.4,75.33,67.83,55.65,28.55
1.42,75.36,70.3,56.23,24.54
1.43,75.18,60.93,55.41,25.98
1.45,75.35,63.42,56.11,26.85
1.47,75.26,65.84,56.01,27.84
1.48,75.24,68.29,56.47,28.23
1.5,75.25,69.25,54.61,26.67
1.52,75.22,65.28,55.12,27.56
1.53,75.27,67.75,55.7,28.54
1.55,75.24,70.2,56.22,24.99
1.57,75.25,61.37,55.64,25.94
1.58,75.2,63.81,56.13,27.1
1.6,75.3,66.29,56.1,27.95
1.62,75.29,68.74,56.12,27.46
1.63,75.36,67.41,56.11,28.47
1.65,75.24,69.83,55.96,26.01
1.67,75.23,62.85,56.49,26.48
1.68,75.27,65.33,54.55,27.64
1.7,75.32,67.79,55.14,28.81
1.72,75.34,70.23,55.7,24.93
1.73,75.3,61.24,56.2,26.12
1.75,75.21,63.64,55.62,26.77
1.77,75.37,66.16,56.32,28.07
1.78,75.22,68.55,55.07,27.82
1.8,75.22,68.18,55.6,28.35
1.82,75.3,69.74,56.23,25.95
1.83,75.25,63.23,55.53,26.56
1.85,75.38,65.74,56.21,27.62
1.87,75.26,68.17,55.55,28.39
1.88,75.26,69.76,56.09,25.88
1.9,75.37,63.2,56.27,26.74
1.92,75.32,65.63,55.38,27.68
1.93,75.27,68.07,55.87,28.73
1.95,75.18,70.13,56.32,25.27
1.97,75.18,61.64,55.21,26.12
