Tiempo (h),Nivel_Total,Nivel_Agua,Nivel_Petroleo,Resid,Label_Escenario
0.0,74.91,67.97,55.91,28.91,1
0.02,75.05,70.45,56.59,24.38,1
0.03,75.04,60.36,54.09,25.63,1
0.05,75.0,62.8,54.6,26.51,1
0.07,75.07,65.28,55.2,27.59,1
0.08,75.11,67.74,55.78,28.7,1
0.1,75.14,70.2,56.36,25.14,1
0.12,74.99,61.31,54.89,26.29,1
0.13,75.03,63.75,55.47,26.98,1
0.15,75.1,66.22,56.08,27.86,1
0.17,75.05,68.67,56.16,27.45,1
0.18,75.11,67.72,55.94,28.59,1
0.2,74.97,70.13,56.34,25.24,1
0.22,75.09,61.68,55.25,26.1,1
0.23,75.0,64.11,55.7,27.09,1
0.25,75.16,66.62,56.4,28.12,1
0.27,75.08,69.05,54.81,26.72,1
0.28,74.97,66.1,55.25,28.02,1
0.3,75.21,68.62,56.02,27.44,1
0.32,75.08,67.88,56.34,28.52,1
0.33,75.13,70.36,55.18,24.67,1
0.35,75.0,60.67,55.6,25.88,1
0.37,75.08,63.14,56.22,26.8,1
0.38,75.15,65.6,55.69,27.55,1
0.4,75.16,68.07,56.25,28.52,1
0.42,75.02,70.13,55.36,25.06,1
0.43,75.01,61.67,55.9,26.13,1
0.45,75.23,64.19,56.66,27.07,1
0.47,75.12,66.61,53.7,28.31,1
0.48,75.14,69.05,54.26,26.79,1
0.5,75.14,66.14,54.8,27.97,1
0.52,75.05,68.56,55.25,27.76,1
0.53,75.13,68.17,55.87,28.33,1
0.55,74.97,69.71,56.25,25.94,1
0.57,75.11,63.42,55.65,26.72,1
0.58,75.1,65.88,56.18,28.04,1
0.6,75.14,68.33,55.83,28.19,1
0.62,75.21,69.11,56.44,26.7,1
0.63,75.02,65.82,54.54,27.97,1
0.65,75.13,68.3,55.18,28.17,1
0.67,75.16,69.22,55.75,26.68,1
0.68,75.12,65.4,56.25,27.54,1
0.7,75.06,67.85,55.45,28.72,1
0.72,75.16,70.33,56.09,24.95,1
0.73,75.22,60.83,56.23,25.76,1
0.75,75.09,63.24,55.45,26.92,1
0.77,75.06,65.67,55.96,27.91,1
0.78,75.15,68.14,56.59,28.68,1
0.8,75.16,69.86,54.1,25.67,1
0.82,75.06,62.73,54.54,26.67,1
0.83,75.14,65.2,55.16,27.6,1
0.85,75.19,67.66,55.75,28.54,1
0.87,75.16,70.11,56.26,25.14,1
0.88,75.18,61.75,55.49,26.26,1
0.9,75.15,64.18,55.99,27.24,1
0.92,75.27,66.66,56.65,28.19,1
0.93,75.23,69.1,53.82,26.81,1
0.95,75.03,65.85,54.16,27.64,1
0.97,75.01,68.32,54.68,28.15,1
0.98,75.19,69.19,55.4,26.96,1
1.0,75.11,65.49,55.85,27.94,1
1.02,75.17,67.94,56.45,28.86,1
1.03,75.06,70.34,54.57,24.99,1
1.05,75.22,60.82,55.26,25.58,1
1.07,75.16,63.27,55.75,26.77,1
1.08,75.16,65.72,56.29,27.84,1
1.1,75.13,68.16,55.3,28.63,1
1.12,75.11,69.77,55.83,25.59,1
1.13,75.15,63.17,56.41,26.78,1
1.15,75.1,65.6,54.79,27.57,1
1.17,75.11,68.08,55.35,28.83,1
1.18,75.08,70.09,55.85,25.29,1
1.2,75.21,61.85,56.51,26.19,1
1.22,75.19,64.29,54.42,27.25,1
1.23,75.2,66.75,54.97,28.42,1
1.25,75.23,69.19,55.53,26.64,1
1.27,75.09,65.5,55.93,27.78,1
1.28,75.05,67.93,56.43,28.56,1
1.3,75.1,70.41,54.82,24.58,1
1.32,75.15,60.53,55.42,25.73,1
1.33,75.32,63.03,56.12,26.58,1
1.35,75.14,65.43,55.86,27.67,1
1.37,75.11,67.87,56.38,28.69,1
1.38,75.19,70.35,55.05,24.72,1
1.4,75.25,60.77,55.64,25.71,1
1.42,75.19,63.21,56.13,26.58,1
1.43,75.05,65.63,55.87,27.62,1
1.45,75.15,68.13,56.51,28.46,1
1.47,75.27,69.95,54.54,25.56,1
