Tiempo (h),Nivel_Total,Nivel_Agua,Nivel_Petroleo,Resid,Label_Escenario
0.0,75.02,68.01,56.02,28.44,0
0.02,74.95,70.41,56.4,24.62,0
0.03,74.93,60.5,54.87,25.69,0
0.05,75.09,63.0,55.56,26.66,0
0.07,75.03,65.44,56.04,27.54,0
0.08,74.96,67.88,56.31,28.59,0
0.1,75.15,70.4,55.45,24.63,0
0.12,74.98,60.5,55.82,25.77,0
0.13,74.99,62.94,56.37,26.76,0
0.15,75.05,65.4,55.07,27.64,0
0.17,75.11,67.87,55.67,28.93,0
0.18,75.06,70.29,56.15,24.8,0
0.2,74.83,60.93,55.69,25.69,0
0.22,75.08,63.48,56.49,27.16,0
0.23,75.12,65.91,54.54,27.81,0
0.25,75.11,68.37,55.07,28.25,0
0.27,75.08,68.9,55.59,27.36,0
0.28,75.07,66.72,56.11,28.1,0
0.3,75.05,69.17,56.07,26.51,0
0.32,75.0,65.63,56.2,27.86,0
0.33,75.08,68.1,55.79,28.65,0
0.35,75.06,70.03,56.32,25.21,0
0.37,75.1,62.09,55.26,26.36,0
0.38,75.11,64.54,55.8,27.15,0
0.4,75.11,67.01,56.34,28.2,0
0.42,75.09,69.46,55.12,26.33,0
0.43,75.03,64.4,55.6,27.3,0
0.45,75.08,66.86,56.19,28.21,0
0.47,75.11,69.33,55.78,26.48,0
0.48,75.13,64.97,56.34,27.42,0
0.5,75.11,67.42,55.12,28.5,0
0.52,75.19,69.89,55.74,25.47,0
0.53,75.06,62.62,56.15,26.71,0
0.55,74.99,65.03,55.85,27.83,0
0.57,75.15,67.5,56.54,28.8,0
0.58,74.97,69.87,54.12,25.48,0
0.6,75.18,62.81,54.88,26.61,0
0.62,75.03,65.22,55.27,27.27,0
0.63,75.08,67.71,55.86,28.76,0
0.65,75.11,70.16,56.43,25.16,0
0.67,74.89,61.46,54.54,26.09,0
0.68,75.27,64.02,55.45,27.32,0
0.7,75.15,66.42,55.87,28.04,0
0.72,75.01,68.83,56.27,27.4,0
0.73,74.96,67.0,55.37,28.22,0
0.75,75.07,69.5,56.03,26.04,0
0.77,75.09,64.28,56.44,27.19,0
0.78,75.06,66.72,54.69,28.41,0
0.8,75.12,69.17,55.28,26.84,0
0.82,75.13,65.62,55.83,27.93,0
0.83,75.24,68.09,56.48,28.82,0
0.85,75.09,70.01,54.4,25.34,0
0.87,75.17,62.18,55.02,26.22,0
0.88,75.08,64.61,55.47,27.4,0
0.9,75.24,67.11,56.17,28.34,0
0.92,75.03,69.5,55.63,26.2,0
0.93,75.14,64.29,56.28,27.04,0
0.95,75.11,66.75,55.35,28.15,0
0.97,75.17,69.22,55.96,26.66,0
0.98,75.16,65.42,56.49,27.58,0
1.0,75.17,67.88,54.52,28.71,0
1.02,75.27,70.35,55.16,24.75,0
1.03,75.09,60.7,55.52,26.07,0
1.05,75.18,63.15,56.15,26.46,0
