Tiempo (h),Nivel_Total,Nivel_Agua,Nivel_Petroleo,Resid,Label_Escenario
0.0,74.97,67.99,55.97,28.94,2
0.02,75.02,70.44,56.56,24.7,2
0.03,75.03,60.37,54.24,25.71,2
0.05,75.11,62.84,54.84,26.59,2
0.07,75.05,65.27,55.32,27.45,2
0.08,75.05,67.74,55.87,28.75,2
0.1,75.08,70.19,56.44,24.99,2
0.12,74.94,61.37,54.58,26.16,2
0.13,75.04,63.84,55.22,27.14,2
0.15,75.1,66.3,55.81,27.99,2
0.17,74.96,68.72,56.22,27.43,2
0.18,75.08,67.52,55.75,28.68,2
0.2,74.97,69.93,56.18,25.45,2
0.22,75.0,62.49,55.83,26.32,2
0.23,75.0,64.96,56.36,27.35,2
0.25,75.07,67.45,55.13,28.45,2
0.27,75.08,69.91,55.68,25.69,2
0.28,75.08,62.54,56.22,26.31,2
0.3,75.09,65.02,55.64,27.61,2
0.32,75.07,67.45,56.16,28.33,2
0.33,75.14,69.94,55.96,25.42,2
0.35,75.1,62.43,56.46,26.33,2
0.37,75.04,64.88,54.57,27.23,2
0.38,75.11,67.37,55.19,28.53,2
0.4,75.16,69.83,55.78,25.54,2
0.42,75.08,62.88,56.24,26.59,2
0.43,75.13,65.36,55.6,27.67,2
0.45,74.99,67.76,55.99,28.59,2
0.47,75.0,70.22,56.55,24.96,2
0.48,75.1,61.32,54.37,26.04,2
0.5,75.05,63.75,54.86,27.09,2
0.52,75.1,66.21,55.44,27.99,2
0.53,75.18,68.69,56.06,27.63,2
0.55,75.13,67.58,56.24,28.65,2
0.57,75.06,70.0,55.48,25.48,2
0.58,75.11,62.19,56.06,26.13,2
0.6,75.04,64.65,56.23,27.16,2
0.62,75.04,67.12,55.6,28.48,2
0.63,75.02,69.56,56.11,26.02,2
0.65,75.22,64.07,56.28,27.18,2
0.67,75.19,66.51,55.36,27.94,2
0.68,75.27,69.0,55.98,27.04,2
0.7,75.04,66.25,56.3,28.19,2
0.72,75.26,68.76,55.51,27.45,2
0.73,75.13,67.27,55.92,28.34,2
0.75,75.08,69.71,56.41,25.79,2
0.77,75.2,63.43,54.97,26.83,2
0.78,75.13,65.86,55.43,27.86,2
0.8,74.97,68.27,55.82,28.2,2
0.82,75.08,69.38,56.47,26.56,2
0.83,75.1,64.74,54.61,27.39,2
0.85,74.93,67.14,54.98,28.56,2
0.87,75.22,69.67,55.81,25.88,2
0.88,75.06,63.5,56.18,27.07,2
0.9,75.12,65.96,55.86,28.04,2
0.92,75.28,68.44,56.55,27.98,2
0.93,75.12,68.59,54.12,27.77,2
0.95,75.19,68.03,54.72,28.85,2
0.97,75.26,70.33,55.32,24.98,2
0.98,75.11,60.77,55.72,25.77,2
1.0,75.1,63.22,56.24,26.88,2
1.02,75.02,65.64,55.47,27.52,2
1.03,75.24,68.18,56.23,28.53,2
1.05,75.12,69.66,55.47,25.9,2
1.07,75.15,63.61,56.04,26.75,2
1.08,75.24,66.1,56.47,28.05,2
1.1,75.29,68.56,54.65,27.91,2
1.12,75.12,68.07,55.01,28.72,2
1.13,75.14,70.16,55.57,25.2,2
1.15,75.19,61.54,56.16,26.16,2
1.17,75.19,63.98,55.88,27.08,2
1.18,75.16,66.43,56.38,27.87,2
1.2,75.17,68.9,54.98,27.2,2
1.22,75.2,66.74,55.55,28.31,2
1.23,75.18,69.18,56.07,26.78,2
1.25,75.25,65.6,56.32,27.93,2
1.27,75.23,68.02,55.2,28.59,2
1.28,75.11,70.34,55.62,24.67,2
1.3,75.3,60.86,56.35,25.74,2
1.32,75.26,63.31,55.06,26.61,2
1.33,75.32,65.79,55.66,27.83,2
1.35,75.07,68.17,55.95,28.33,2
1.37,75.3,69.82,56.71,25.59,2
1.38,75.23,62.93,53.54,26.56,2
1.4,75.28,65.4,54.14,27.54,2
1.42,75.15,67.82,54.55,28.71,2
1.43,75.24,70.3,55.18,24.95,2
1.45,75.28,60.95,55.76,25.71,2
1.47,75.14,63.37,56.16,26.77,2
1.48,75.3,65.88,56.04,27.81,2
1.5,75.25,68.31,56.32,28.2,2
1.52,75.23,69.17,55.2,26.73,2
1.53,75.11,65.58,55.62,27.93,2
1.55,75.34,68.09,56.38,28.47,2
1.57,75.32,70.08,54.95,25.0,2
1.58,75.18,61.84,55.36,26.17,2
1.6,75.2,64.3,55.91,27.34,2
1.62,75.13,66.72,56.39,28.23,2
1.63,75.13,69.17,54.93,26.7,2
1.65,75.29,65.67,55.63,27.79,2
1.67,75.25,68.11,56.12,28.59,2
1.68,75.19,69.97,55.98,25.69,2
1.7,75.26,62.31,56.59,26.32,2
1.72,75.4,64.81,54.24,27.49,2
1.73,75.14,67.17,54.52,28.29,2
1.75,75.41,69.71,55.33,25.81,2
1.77,75.17,63.32,55.63,26.7,2
1.78,75.27,65.82,56.27,28.07,2
1.8,75.18,68.22,55.33,28.26,2
1.82,75.35,69.6,56.05,25.98,2
1.83,75.31,63.83,56.29,26.92,2
1.85,75.12,66.24,55.15,28.06,2
1.87,75.32,68.74,55.89,27.54,2
1.88,75.3,67.38,56.4,28.36,2
1.9,75.31,69.85,54.91,25.39,2
1.92,75.31,62.83,55.45,26.67,2
1.93,75.27,65.26,55.95,27.74,2
1.95,75.32,67.72,56.54,28.28,2
1.97,75.3,70.19,54.29,25.08,2
1.98,75.26,61.39,54.78,25.71,2
2.0,75.31,63.88,55.38,27.03,2
2.02,75.28,66.33,55.89,27.93,2
2.03,75.33,68.8,56.48,27.47,2
2.05,75.24,67.11,54.46,28.3,2
2.07,75.42,69.62,55.18,25.72,2
2.08,75.39,63.78,55.7,26.91,2
2.1,75.26,66.19,56.11,28.07,2
2.12,75.26,68.64,56.08,27.51,2
2.13,75.26,67.82,56.21,28.67,2
2.15,75.23,70.26,55.65,24.68,2
2.17,75.16,61.12,56.12,25.79,2
2.18,75.28,63.62,56.17,27.04,2
2.2,75.26,66.05,55.81,27.97,2
2.22,75.32,68.52,56.42,27.9,2
2.23,75.34,68.3,54.82,28.13,2
2.25,75.37,69.22,55.38,26.57,2
2.27,75.47,65.46,56.03,27.51,2
2.28,75.39,67.9,56.34,28.62,2
2.3,75.43,70.36,55.17,24.85,2
2.32,75.29,60.65,55.57,25.64,2
2.33,75.42,63.15,56.24,26.7,2
2.35,75.43,65.61,55.56,27.5,2
2.37,75.31,68.04,55.98,28.8,2
2.38,75.28,70.27,56.49,24.81,2
2.4,75.39,61.11,54.63,26.16,2
2.42,75.31,63.51,55.08,27.05,2
2.43,75.3,65.95,55.6,27.95,2
2.45,75.44,68.43,56.29,27.88,2
2.47,75.38,68.66,55.27,27.49,2
2.48,75.3,67.72,55.74,28.78,2
2.5,75.29,70.15,56.26,25.04,2
2.52,75.22,61.55,55.4,26.05,2
2.53,75.25,64.02,55.97,27.02,2
2.55,75.31,66.5,56.57,28.14,2
2.57,75.46,68.99,54.33,26.96,2
2.58,75.35,66.33,54.76,27.9,2
2.6,75.32,68.78,55.28,27.31,2
2.62,75.28,67.23,55.78,28.2,2
2.63,75.27,69.7,56.31,25.95,2
2.65,75.28,63.42,55.27,26.59,2
2.67,75.47,65.95,56.0,27.94,2
2.68,75.45,68.39,56.52,27.84,2
2.7,75.22,68.79,54.17,27.07,2
2.72,75.37,67.26,54.86,28.27,2
2.73,75.54,69.78,55.57,25.75,2
2.75,75.3,63.02,55.87,26.46,2
2.77,75.3,65.49,56.41,27.81,2
2.78,75.45,67.97,54.99,28.66,2
2.8,75.4,70.41,55.49,24.72,2
2.82,75.32,60.47,55.94,25.69,2
2.83,75.4,62.94,56.56,26.69,2
2.85,75.34,65.37,54.17,27.42,2
2.87,75.39,67.85,54.76,28.54,2
2.88,75.38,70.31,55.3,24.85,2
2.9,75.39,60.91,55.85,25.61,2
2.92,75.36,63.37,56.35,26.85,2
2.93,75.43,65.84,55.17,27.83,2
2.95,75.36,68.27,55.63,28.31,2
2.97,75.36,69.33,56.18,26.46,2
2.98,75.46,64.99,55.89,27.5,2
3.0,75.37,67.41,56.33,28.51,2
3.02,75.27,69.82,55.09,25.77,2
3.03,75.32,62.94,55.67,26.42,2
3.05,75.36,65.42,56.25,27.93,2
3.07,75.3,67.83,55.45,28.66,2
3.08,75.43,70.32,56.11,24.7,2
3.1,75.3,60.84,55.96,25.82,2
3.12,75.38,63.31,56.58,26.78,2
3.13,75.48,65.8,54.25,27.63,2
3.15,75.32,68.21,54.63,28.38,2
3.17,75.23,69.56,55.08,25.84,2
3.18,75.4,64.08,55.79,27.29,2
3.2,75.38,66.51,56.3,28.15,2
3.22,75.37,68.95,55.29,27.05,2
3.23,75.35,66.53,55.81,28.05,2
3.25,75.3,68.97,56.3,26.65,2
3.27,75.46,66.54,55.48,27.95,2
3.28,75.35,68.96,55.9,26.93,2
3.3,75.25,66.48,56.35,28.06,2
3.32,75.31,68.95,55.15,27.08,2
3.33,75.29,66.53,55.68,28.02,2
3.35,75.38,69.01,56.3,26.93,2
3.37,75.34,66.28,55.27,27.89,2
3.38,75.39,68.75,55.86,27.37,2
3.4,75.39,67.36,56.39,28.28,2
3.42,75.31,69.8,54.86,25.83,2
3.43,75.6,63.09,55.68,26.55,2
3.45,75.28,65.46,55.91,27.35,2
3.47,75.59,68.03,56.76,28.9,2
3.48,75.42,70.25,53.23,24.84,2
3.5,75.39,61.16,53.74,25.96,2
3.52,75.37,63.6,54.26,26.71,2
3.53,75.42,66.09,54.85,27.66,2
3.55,75.48,68.58,55.46,27.57,2
3.57,75.52,68.08,56.04,28.56,2
3.58,75.37,70.07,56.22,25.14,2
3.6,75.29,61.89,55.56,26.14,2
3.62,75.5,64.41,56.3,27.23,2
3.63,75.46,66.85,55.26,28.09,2
3.65,75.45,69.31,55.8,26.31,2
3.67,75.36,65.04,56.25,27.49,2
3.68,75.47,67.52,55.62,28.57,2
3.7,75.37,69.93,56.06,25.39,2
3.72,75.36,62.49,56.28,26.38,2
3.73,75.29,64.92,55.31,27.37,2
3.75,75.35,67.4,55.92,28.83,2
3.77,75.46,69.85,56.56,25.58,2
3.78,75.52,62.83,54.28,26.5,2
3.8,75.43,65.26,54.73,27.94,2
3.82,75.28,67.63,55.11,28.69,2
3.83,75.38,70.11,55.75,25.27,2
3.85,75.47,61.75,56.38,26.3,2
3.87,75.45,64.18,54.95,26.92,2
3.88,75.43,66.64,55.47,28.33,2
3.9,75.44,69.08,56.01,26.95,2
3.92,75.42,65.98,56.48,27.91,2
3.93,75.38,68.41,54.51,28.24,2
3.95,75.38,68.74,55.05,27.36,2
3.97,75.49,67.44,55.7,28.59,2
3.98,75.44,69.86,56.19,25.37,2
4.0,75.42,62.79,55.74,26.6,2
4.02,75.18,65.16,56.04,27.46,2
4.03,75.36,67.67,56.55,28.63,2
4.05,75.46,70.15,54.36,25.09,2
4.07,75.27,61.51,54.72,26.02,2
4.08,75.49,64.04,55.48,26.97,2
4.1,75.33,66.45,55.86,27.87,2
4.12,75.47,68.96,56.55,27.0,2
4.13,75.27,66.43,54.06,28.14,2
4.15,75.4,68.92,54.73,27.09,2
4.17,75.3,66.62,55.17,28.08,2
4.18,75.42,69.12,55.83,26.68,2
4.2,75.46,65.85,56.41,27.85,2
4.22,75.34,68.26,54.73,28.39,2
4.23,75.48,69.41,55.4,26.55,2
4.25,75.4,64.58,55.86,27.38,2
4.27,75.27,66.98,56.27,28.14,2
4.28,75.4,69.49,55.55,26.1,2
4.3,75.46,64.32,56.16,27.32,2
4.32,75.4,66.74,55.81,28.37,2
4.33,75.3,69.15,56.25,26.78,2
4.35,75.47,65.75,55.67,27.86,2
4.37,75.27,68.13,56.01,28.47,2
4.38,75.5,69.99,56.73,25.4,2
4.4,75.54,62.24,53.57,26.3,2
4.42,75.36,64.64,53.92,27.47,2
4.43,75.44,67.1,54.54,28.22,2
4.45,75.23,69.49,54.87,26.17,2
4.47,75.3,64.33,55.48,26.9,2
4.48,75.51,66.87,56.23,28.32,2
4.5,75.4,69.28,55.49,26.5,2
4.52,75.31,65.14,55.93,27.11,2
4.53,75.35,67.65,56.52,28.29,2
4.55,75.29,70.11,54.34,25.12,2
4.57,75.29,61.74,54.88,26.12,2
4.58,75.32,64.2,55.45,27.49,2
4.6,75.29,66.61,55.95,28.34,2
4.62,75.35,69.06,56.55,26.84,2
4.63,75.42,66.1,54.33,28.1,2
4.65,75.4,68.53,54.85,27.91,2
4.67,75.52,68.29,55.51,28.21,2
4.68,75.53,69.26,56.06,26.77,2
4.7,75.49,65.21,56.25,27.63,2
4.72,75.35,67.62,55.36,28.65,2
4.73,75.55,70.12,56.1,24.98,2
4.75,75.45,61.68,56.03,26.12,2
4.77,75.27,64.07,56.23,27.05,2
4.78,75.28,66.53,55.61,27.99,2
4.8,75.41,69.03,56.28,27.23,2
4.82,75.42,66.18,55.38,28.02,2
4.83,75.4,68.62,55.9,27.78,2
4.85,75.37,67.87,56.41,28.37,2
4.87,75.44,70.36,54.92,24.64,2
4.88,75.43,60.71,55.45,25.85,2
4.9,75.4,63.14,55.95,26.7,2
4.92,75.24,65.55,56.33,27.76,2
4.93,75.28,68.01,55.22,28.67,2
4.95,75.35,70.43,55.83,24.49,2
4.97,75.26,60.4,56.28,25.52,2
4.98,75.5,62.94,55.63,26.55,2
5.0,75.45,65.38,56.12,27.69,2
5.02,75.44,67.82,56.44,28.73,2
5.03,75.5,70.28,56.24,27.97,2
5.05,75.36,68.63,56.22,28.37,2
5.07,75.41,69.99,56.42,27.67,2
5.08,75.51,68.96,56.32,28.17,2
5.1,75.36,69.68,56.14,28.29,2
5.12,75.27,69.1,56.34,28.51,2
5.13,75.38,69.62,56.38,28.0,2
5.15,75.32,69.19,56.19,28.52,2
5.17,75.32,69.5,56.39,28.15,2
5.18,75.52,69.35,56.43,28.42,2
5.2,75.25,69.31,55.94,28.29,2
5.22,75.3,69.44,56.52,28.42,2
5.23,75.25,69.3,56.08,28.43,2
5.25,75.29,69.44,56.52,28.53,2
5.27,75.43,69.35,56.27,28.33,2
5.28,75.42,69.39,56.31,28.32,2
5.3,75.45,69.37,56.33,28.19,2
5.32,75.38,69.37,56.22,28.04,2
5.33,75.3,69.38,56.29,28.32,2
5.35,75.49,69.43,56.5,28.16,2
5.37,75.31,69.29,55.97,28.27,2
5.38,75.29,69.44,56.49,28.19,2
5.4,75.16,69.29,56.03,28.54,2
5.42,75.47,69.52,56.82,28.22,2
5.43,75.39,69.25,55.82,28.41,2
5.45,75.44,69.48,56.4,28.23,2
5.47,75.31,69.26,56.11,28.24,2
5.48,75.22,69.45,56.36,28.17,2
5.5,75.45,69.39,56.49,28.31,2
5.52,75.36,69.34,56.07,28.36,2
5.53,75.21,69.35,56.33,28.3,2
5.55,75.18,69.4,56.26,28.37,2
5.57,75.4,69.41,56.54,28.41,2
5.58,75.41,69.35,56.14,28.33,2
5.6,75.29,69.35,56.3,28.42,2
5.62,75.42,69.43,56.43,28.02,2
5.63,75.36,69.34,56.16,28.33,2
5.65,75.26,69.37,56.31,28.39,2
5.67,75.45,69.43,56.48,28.12,2
5.68,75.37,69.32,56.09,28.15,2
5.7,75.35,69.43,56.45,28.19,2
