Tiempo (h),Nivel_Total,Nivel_Agua,Nivel_Petroleo,Resid
0.0,75.02,68.01,56.02,12.77
0.02,74.95,73.7,57.12,8.69
0.03,74.91,50.24,52.61,9.79
0.05,74.91,55.96,53.86,10.77
0.07,75.08,61.74,55.29,11.76
0.08,74.93,67.43,56.4,12.9
0.1,74.91,73.09,55.58,9.26
0.12,75.13,52.75,57.06,10.18
0.13,75.04,58.46,52.79,11.26
0.15,74.89,64.11,53.89,12.2
0.17,75.1,69.91,55.37,11.5
0.18,74.86,65.76,56.38,12.57
0.2,74.9,71.46,55.72,10.43
0.22,75.0,59.44,57.08,11.32
0.23,74.96,65.18,52.76,12.45
0.25,75.08,70.91,54.14,10.78
0.27,74.98,61.68,55.3,11.69
0.28,75.11,67.49,56.7,12.85
0.3,75.01,73.15,54.26,9.18
0.32,75.17,52.5,55.67,10.18
0.33,74.98,58.16,56.74,11.15
0.35,75.11,63.93,54.34,12.24
0.37,75.06,69.6,55.54,11.72
0.38,75.13,67.14,56.86,12.76
0.4,75.03,72.82,53.62,9.46
0.42,75.01,53.78,54.84,10.5
0.43,75.1,59.46,56.18,11.4
0.45,75.06,65.16,56.48,12.33
0.47,75.15,70.94,55.37,10.67
0.48,74.98,61.58,56.47,11.8
0.5,75.19,67.35,55.52,12.78
0.52,74.94,72.99,56.53,9.31
0.53,75.0,53.11,55.12,10.3
0.55,74.96,58.82,56.35,11.3
0.57,75.09,64.57,55.93,12.23
0.58,75.11,70.32,57.22,11.26
0.6,75.32,64.18,52.42,12.18
0.62,75.11,69.84,53.48,11.62
0.63,75.12,66.09,54.74,12.53
0.65,75.13,71.82,56.0,10.14
0.67,75.1,57.93,57.23,11.05
0.68,75.12,63.7,52.21,12.26
0.7,75.13,69.36,53.46,11.95
0.72,75.15,68.08,54.74,12.77
0.73,75.03,73.38,55.88,8.99
0.75,75.19,51.57,57.3,9.97
0.77,75.15,57.3,51.86,11.0
0.78,75.16,63.03,53.12,11.93
0.8,75.18,68.79,54.41,12.15
0.82,75.2,70.55,55.7,11.08
0.83,75.06,63.12,56.82,11.98
0.85,75.14,68.89,53.96,12.19
0.87,75.14,70.07,55.22,11.46
0.88,75.12,65.13,56.45,12.41
0.9,75.08,70.83,55.36,10.83
0.92,75.02,62.02,56.56,11.78
0.93,75.37,67.88,55.3,12.86
0.95,75.13,73.52,56.32,8.81
0.97,75.0,50.96,55.83,9.84
0.98,75.1,56.75,57.19,10.91
1.0,75.05,62.46,52.3,11.99
1.02,75.25,68.2,53.75,12.78
1.03,75.27,72.88,55.02,9.32
1.05,75.17,53.56,56.19,10.44
1.07,75.25,59.26,56.53,11.3
1.08,75.24,65.0,55.07,12.33
1.1,75.06,70.67,56.15,10.92
1.12,75.29,62.79,56.88,11.89
1.13,75.31,68.55,53.65,12.54
1.15,75.26,71.4,54.85,10.48
1.17,75.16,59.61,56.0,11.29
1.18,75.09,65.39,57.21,12.5
1.2,75.17,71.09,52.33,10.65
1.22,75.18,60.97,53.6,11.68
1.23,75.17,66.67,54.84,12.7
1.25,75.23,72.38,56.16,9.71
1.27,75.2,55.63,56.57,10.73
1.28,75.19,61.33,54.88,11.72
1.3,75.24,67.06,56.19,12.68
1.32,75.13,72.77,56.37,9.49
1.33,75.23,54.02,55.82,10.41
1.35,75.15,59.73,57.0,11.47
1.37,75.2,65.45,53.18,12.36
1.38,75.33,71.24,54.57,10.57
1.4,75.1,60.25,55.6,11.44
1.42,75.18,66.05,56.95,12.54
1.43,75.15,71.76,53.31,10.12
1.45,75.15,58.22,54.57,11.18
1.47,75.3,63.98,55.97,12.23
1.48,75.24,69.65,57.16,11.69
1.5,75.25,66.91,52.49,12.73
1.52,75.24,72.6,53.73,9.54
1.53,75.34,54.77,55.1,10.53
1.55,75.13,60.44,56.15,11.6
1.57,75.12,66.13,56.61,12.55
1.58,75.13,71.86,54.76,10.15
1.6,75.21,57.77,56.09,11.1
1.62,75.28,63.51,56.95,12.16
1.63,75.2,69.17,53.25,12.04
1.65,75.29,68.91,54.6,12.14
1.67,75.31,70.01,55.89,11.49
1.68,75.24,65.36,57.07,12.47
1.7,75.29,71.07,52.88,10.62
1.72,75.22,61.04,54.07,11.71
1.73,75.24,66.74,55.35,12.62
1.75,75.3,72.5,56.67,9.59
1.77,75.15,55.11,54.34,10.61
1.78,75.21,60.86,55.66,11.63
1.8,75.32,66.61,57.03,12.66
1.82,75.33,72.32,53.01,9.77
1.83,75.26,55.85,54.2,10.76
1.85,75.24,61.56,55.44,11.68
1.87,75.35,67.34,56.81,12.82
1.88,75.29,73.02,53.85,9.25
1.9,75.33,53.0,55.15,10.26
1.92,75.39,58.73,56.46,11.27
1.93,75.28,64.41,55.25,12.32
1.95,75.19,70.06,56.41,11.37
1.97,75.1,65.2,55.49,12.39
1.98,75.33,70.99,56.97,10.68
2.0,75.36,61.4,53.29,11.63
2.02,75.35,67.17,54.54,12.77
2.03,75.14,72.8,55.59,9.34
2.05,75.26,53.99,56.98,10.38
2.07,75.15,59.7,53.11,11.48
2.08,75.24,65.42,54.45,12.33
2.1,75.21,71.18,55.69,10.59
2.12,75.45,60.66,57.19,11.45
2.13,75.41,66.44,52.32,12.49
2.15,75.29,72.18,53.47,9.83
2.17,75.22,56.45,54.66,10.89
2.18,75.19,62.14,55.88,11.87
2.2,75.27,67.88,57.22,12.85
2.22,75.38,73.64,52.33,8.81
2.23,75.53,50.46,53.73,9.84
2.25,75.27,56.08,54.73,10.81
2.27,75.25,61.78,55.96,11.82
2.28,75.46,67.55,57.44,12.82
2.3,75.39,73.23,51.23,9.12
2.32,75.35,52.09,52.44,10.18
2.33,75.32,57.75,53.66,11.1
2.35,75.35,63.47,54.95,12.04
2.37,75.23,69.17,56.09,12.03
2.38,75.43,68.95,57.08,12.21
2.4,75.4,69.77,52.77,11.7
2.42,75.38,66.35,54.0,12.54
2.43,75.32,72.07,55.2,10.01
2.45,75.28,56.86,56.4,10.9
2.47,75.3,62.6,55.64,11.91
2.48,75.17,68.29,56.77,12.6
2.5,75.45,72.64,54.37,9.53
2.52,75.39,54.54,55.57,10.43
2.53,75.33,60.29,56.77,11.47
2.55,75.34,66.05,54.1,12.61
2.57,75.28,71.71,55.29,10.21
2.58,75.29,58.4,56.55,11.24
2.6,75.4,64.12,55.09,12.15
2.62,75.44,69.88,56.4,11.46
2.63,75.41,65.97,55.59,12.55
2.65,75.28,71.63,56.71,10.27
2.67,75.3,58.73,54.34,11.33
2.68,75.33,64.41,55.62,12.3
2.7,75.33,70.1,56.87,11.39
2.72,75.47,65.07,53.8,12.51
2.73,75.43,70.7,55.0,10.86
2.75,75.36,62.59,56.2,12.0
2.77,75.35,68.27,56.42,12.65
2.78,75.46,72.65,55.63,9.48
