Tiempo (h),Nivel_Total,Nivel_Agua,Nivel_Petroleo,Resid,Label_Escenario
0.0,75.14,68.04,56.14,12.85,0
0.02,75.02,73.52,56.56,8.8,0
0.03,75.02,51.0,54.96,9.91,0
0.05,74.89,56.69,56.09,10.96,0
0.07,75.01,62.42,57.0,11.92,0
0.08,75.07,68.15,53.19,12.75,0
0.1,75.04,73.11,54.43,9.23,0
0.12,75.03,52.59,55.66,10.18,0
0.13,75.07,58.33,56.97,11.18,0
0.15,74.98,64.03,53.16,12.09,0
0.17,74.97,69.81,54.42,11.63,0
0.18,75.0,66.22,55.7,12.67,0
0.2,75.02,71.9,56.97,10.06,0
0.22,74.96,57.62,53.2,11.07,0
0.23,75.01,63.35,54.51,12.16,0
0.25,75.09,69.05,55.84,12.18,0
0.27,75.18,69.39,57.18,11.88,0
0.28,74.94,67.91,52.15,12.87,0
0.3,74.93,73.62,53.4,8.86,0
0.32,75.12,50.56,54.84,9.82,0
0.33,75.12,56.28,56.1,10.81,0
0.35,75.09,62.01,56.82,11.91,0
0.37,75.06,67.68,53.83,12.9,0
0.38,75.12,73.39,55.14,9.04,0
0.4,75.02,51.4,56.29,9.95,0
0.42,75.03,57.14,56.08,11.06,0
0.43,74.97,62.8,56.86,11.97,0
0.45,75.02,68.54,53.76,12.5,0
0.47,75.09,71.51,55.08,10.35,0
0.48,75.15,59.25,56.4,11.32,0
0.5,75.14,64.99,55.6,12.46,0
0.52,75.11,70.64,56.82,10.87,0
0.53,74.98,62.84,53.76,12.09,0
0.55,75.01,68.52,55.03,12.54,0
0.57,75.18,71.61,56.46,10.31,0
0.58,74.96,58.73,55.13,11.32,0
0.6,75.09,64.46,56.51,12.23,0
0.62,75.12,70.2,55.19,11.36,0
0.63,74.9,64.53,56.22,12.26,0
0.65,75.16,70.35,56.61,11.22,0
0.67,75.07,63.96,54.65,12.09,0
0.68,75.11,69.74,55.96,11.66,0
0.7,75.08,66.51,57.19,12.56,0
0.72,75.08,72.26,52.34,9.81,0
0.73,75.11,56.14,53.63,10.75,0
0.75,75.04,61.88,54.83,11.8,0
0.77,75.09,67.61,56.13,12.77,0
0.78,75.11,73.36,56.75,8.97,0
0.8,75.08,51.61,54.14,10.04,0
0.82,75.09,57.32,55.41,11.07,0
0.83,75.13,63.02,56.7,12.03,0
0.85,75.08,68.72,54.31,12.25,0
0.87,75.2,70.84,55.71,10.79,0
0.88,75.17,62.01,56.94,11.72,0
0.9,75.05,67.75,53.27,12.81,0
0.92,75.07,73.49,54.56,8.92,0
0.93,75.22,51.1,55.96,9.96,0
0.95,75.19,56.79,57.19,10.92,0
0.97,75.13,62.49,52.28,11.92,0
0.98,75.11,68.2,53.52,12.83,0
1.0,75.19,72.88,54.85,9.35,0
1.02,75.14,53.56,56.06,10.33,0
1.03,75.23,59.32,57.1,11.4,0
1.05,75.23,65.02,52.71,12.38,0
1.07,75.16,70.71,53.9,10.82,0
1.08,74.95,62.52,54.96,11.91,0
1.1,75.17,68.32,56.44,12.66,0
1.12,75.11,72.38,55.38,9.73,0
1.13,75.16,55.64,56.69,10.65,0
1.15,75.05,61.37,54.3,11.72,0
1.17,75.17,67.13,55.69,12.67,0
1.18,75.22,72.89,57.0,9.34,0
1.2,75.21,53.53,53.12,10.35,0
1.22,75.09,59.21,54.26,11.39,0
1.23,75.31,64.97,55.73,12.39,0
1.25,75.33,70.68,57.0,10.93,0
1.27,75.19,62.62,53.0,11.87,0
1.28,75.29,68.4,54.36,12.57,0
1.3,75.11,72.02,55.44,9.97,0
1.32,75.31,57.19,56.9,10.96,0
1.33,75.19,62.89,53.42,11.95,0
1.35,75.2,68.63,54.7,12.37,0
1.37,75.2,71.14,55.96,10.62,0
1.38,75.16,60.74,57.18,11.54,0
1.4,75.3,66.54,52.54,12.55,0
1.42,75.22,72.27,53.72,9.73,0
1.43,75.29,56.15,55.06,10.81,0
1.45,75.24,61.85,56.27,11.79,0
1.47,75.18,67.55,56.07,12.77,0
