Tiempo (h),Nivel_Total,Nivel_Agua,Nivel_Petroleo,Resid,Label_Escenario
0.0,74.91,67.97,55.91,12.87,2
0.02,75.08,73.75,57.34,8.74,2
0.03,74.99,49.95,51.63,9.65,2
0.05,74.94,55.72,52.85,10.69,2
0.07,75.01,61.49,54.19,11.78,2
0.08,74.98,67.19,55.42,12.73,2
0.1,75.05,72.94,56.75,9.29,2
0.12,74.94,53.31,54.06,10.3,2
0.13,75.08,59.09,55.46,11.3,2
0.15,74.95,64.78,56.58,12.29,2
0.17,75.22,70.61,55.15,10.95,2
0.18,74.97,62.89,56.16,11.98,2
0.2,75.05,68.64,56.68,12.49,2
0.22,75.1,71.05,54.49,10.68,2
0.23,75.13,61.14,55.79,11.68,2
0.25,74.89,66.79,56.8,12.76,2
0.27,75.07,72.53,54.13,9.58,2
0.28,75.15,55.06,55.47,10.61,2
0.3,75.04,60.75,56.62,11.56,2
0.32,75.09,66.52,54.75,12.72,2
0.33,75.06,72.19,55.98,9.86,2
0.35,75.03,56.41,57.2,10.88,2
0.37,75.11,62.14,52.38,11.79,2
0.38,74.99,67.86,53.53,12.95,2
0.4,75.11,73.58,54.89,8.83,2
0.42,75.11,50.69,56.16,9.83,2
0.43,75.05,56.41,56.55,10.78,2
0.45,75.18,62.22,55.12,11.83,2
0.47,75.08,67.93,56.29,12.81,2
0.48,75.15,73.7,56.14,8.78,2
0.5,75.05,50.14,56.57,9.81,2
0.52,75.12,55.85,54.96,10.75,2
0.53,75.18,61.59,56.28,11.78,2
0.55,75.14,67.29,56.06,12.75,2
0.57,75.03,72.98,56.91,9.34,2
0.58,75.13,53.16,53.59,10.26,2
0.6,75.06,58.87,54.78,11.24,2
0.62,74.98,64.6,55.97,12.26,2
0.63,75.11,70.38,57.36,11.08,2
0.65,75.1,63.93,51.64,12.15,2
0.67,75.1,69.66,52.91,11.58,2
0.68,75.03,66.9,54.11,12.66,2
0.7,75.09,72.65,55.43,9.54,2
0.72,75.21,54.56,56.81,10.54,2
0.73,75.1,60.24,53.8,11.5,2
0.75,75.16,65.99,55.12,12.57,2
0.77,75.26,71.72,56.48,10.22,2
0.78,75.21,58.33,55.22,11.11,2
0.8,75.11,64.06,56.38,12.24,2
0.82,75.01,69.73,55.58,11.67,2
0.83,75.12,66.59,56.95,12.6,2
0.85,75.01,72.29,53.23,9.84,2
0.87,75.21,56.03,54.68,10.83,2
0.88,75.15,61.71,55.87,11.78,2
